 Country,Collection,Species,WGS84 N,WGS84 E,Time
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.444987,28.034849,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,65.341767,28.069958,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.996754,30.583716,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031406,28.193109,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.134915,25.843319,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.444987,28.034849,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,69.823861,25.69702,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.927659,25.75004,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238372,25.884538,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.444987,28.034849,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.134975,28.14874,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.927659,25.75004,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.927659,25.75004,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,62.651065,27.971797,2023-01-01 - 2023-12-31
