Country,Collection,WGS84 N,WGS84 E,Species,Time
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.068706,25.881394,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:15-13:35]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,60.549439,25.182707,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [11:10-13:30]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.962909,28.626808,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:20-13:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.962909,28.626808,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:20-13:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.962909,28.626808,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:20-13:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.962909,28.626808,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [12:20-13:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.5852,29.141619,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [13:00-14:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.5852,29.141619,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [13:00-14:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.5852,29.141619,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [13:00-14:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.5852,29.141619,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [13:00-14:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.5852,29.141619,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [13:00-14:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.5852,29.141619,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [13:00-14:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.5852,29.141619,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [13:00-14:50]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [11:10-13:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [11:10-13:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [11:10-13:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [11:10-13:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [11:10-13:10]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.508811,27.76892,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04 [11:10-13:10]
Suomi,Hatikka.fi observations,61.498818,26.445602,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Finnish Insect Database,62.958528,28.671972,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Hatikka.fi observations,61.374274,28.756878,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Finnish Insect Database,61.065995,25.876346,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Finnish Insect Database,62.936714,28.621334,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Finnish Insect Database,62.482764,27.764631,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Finnish Insect Database,62.559179,29.135566,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Finnish Insect Database,62.935523,27.656294,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Finnish Insect Database,61.877303,28.992982,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Hatikka.fi observations,61.322011,28.555956,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,Finnish Insect Database,60.257122,24.738834,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-04
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",60.994452,24.524329,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-03 [13:30-15:40]
Suomi,Finnish Insect Database,60.968956,24.524168,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-03
Suomi,Finnish Insect Database,61.879923,28.802997,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-03
Suomi,Finnish Insect Database,62.319658,29.649202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-02
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.324982,29.789204,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01 [14:40-16:00]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.324982,29.789204,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01 [14:40-16:00]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.324982,29.789204,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01 [14:40-16:00]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",62.44892,29.878321,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-01 [13:00-14:20]
