"species","longitude","latitude"
"Ranunculus glacialis",20.865916,69.067797
"Ranunculus glacialis",21.110143,69.209522
"Ranunculus glacialis",20.854302,69.077715
"Ranunculus glacialis",20.865907,69.067779
"Ranunculus glacialis",21.094975,69.212198
"Ranunculus glacialis",20.824314,69.094662
"Ranunculus glacialis",20.824324,69.094642
"Ranunculus glacialis",21.558363,69.182507
"Ranunculus glacialis",21.558363,69.182507
"Ranunculus glacialis",20.801896,69.084827
"Ranunculus glacialis",20.898134,69.020265
"Ranunculus glacialis",21.357307,69.274988
"Ranunculus glacialis",21.400956,69.209387
"Ranunculus glacialis",20.855338,69.043136
"Ranunculus glacialis",20.855338,69.043136
"Ranunculus glacialis",21.117965,69.127483
"Ranunculus glacialis",21.197633,69.017716
"Ranunculus glacialis",21.1431,69.033851
"Ranunculus glacialis",21.201276,69.098829
"Ranunculus glacialis",21.198905,69.107748
"Ranunculus glacialis",21.277028,69.290338
"Ranunculus glacialis",21.247084,69.307338
"Ranunculus glacialis",21.272305,69.308177
"Ranunculus glacialis",21.299883,69.300092
"Ranunculus glacialis",21.27467,69.299257
"Ranunculus glacialis",21.297528,69.309012
"Ranunculus glacialis",21.251832,69.2895
"Ranunculus glacialis",21.24946,69.298419
"Ranunculus glacialis",21.262019,69.303787
"Ranunculus glacialis",21.262019,69.303787
"Ranunculus glacialis",21.123951,69.105193
"Ranunculus glacialis",21.126352,69.096274
"Ranunculus glacialis",20.826068,69.048356
"Ranunculus glacialis",20.837017,69.054156
"Ranunculus glacialis",20.837023,69.054135
"Ranunculus glacialis",20.826078,69.048338
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",22.787894,68.713901
"Ranunculus glacialis",20.828543,69.04895
"Ranunculus glacialis",20.850614,69.046072
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",21.302822,69.241659
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",21.075832,69.143991
"Ranunculus glacialis",20.654869,69.070427
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",21.123939,68.96565
"Ranunculus glacialis",20.757115,69.065189
"Ranunculus glacialis",20.654869,69.070427
"Ranunculus glacialis",20.580119,69.067635
"Ranunculus glacialis",20.62995,69.069501
"Ranunculus glacialis",20.67979,69.071351
"Ranunculus glacialis",20.704714,69.072271
"Ranunculus glacialis",20.602424,69.077479
"Ranunculus glacialis",20.62735,69.07841
"Ranunculus glacialis",20.65228,69.079338
"Ranunculus glacialis",20.677211,69.080262
"Ranunculus glacialis",20.62475,69.087319
"Ranunculus glacialis",20.649688,69.088247
"Ranunculus glacialis",20.67463,69.089171
"Ranunculus glacialis",20.699573,69.090092
"Ranunculus glacialis",21.201276,69.098829
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",20.57579,69.125973
"Ranunculus glacialis",21.430581,69.286392
"Ranunculus glacialis",21.146541,69.114966
"Ranunculus glacialis",21.290219,69.047832
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",21.829155,68.894136
"Ranunculus glacialis",21.890304,68.900437
"Ranunculus glacialis",21.642572,68.892808
"Ranunculus glacialis",21.645539,69.239208
"Ranunculus glacialis",21.702404,69.213988
"Ranunculus glacialis",21.601894,69.210863
"Ranunculus glacialis",21.483269,69.279064
"Ranunculus glacialis",21.455786,69.287179
"Ranunculus glacialis",21.467203,69.242566
"Ranunculus glacialis",21.412296,69.258786
"Ranunculus glacialis",21.372278,68.974036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850364,69.046036
"Ranunculus glacialis",20.779493,69.075009
"Ranunculus glacialis",21.051462,69.233155
"Ranunculus glacialis",20.779493,69.075009
"Ranunculus glacialis",20.850364,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",20.779493,69.075009
"Ranunculus glacialis",21.051462,69.233155
"Ranunculus glacialis",22.787894,68.713901
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",21.302822,69.241659
"Ranunculus glacialis",21.27926,69.330858
"Ranunculus glacialis",21.09949,69.054823
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",21.272305,69.308177
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850364,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",21.272305,69.308177
"Ranunculus glacialis",20.850364,69.046036
"Ranunculus glacialis",21.123443,68.96565
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850364,69.046036
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.601955,69.036888
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.57579,69.125973
"Ranunculus glacialis",20.57579,69.125973
"Ranunculus glacialis",20.57579,69.125973
"Ranunculus glacialis",20.850364,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",22.787894,68.713901
"Ranunculus glacialis",22.787894,68.713901
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.809478,69.05809
"Ranunculus glacialis",21.123939,68.96565
"Ranunculus glacialis",21.372278,68.974036
"Ranunculus glacialis",21.372278,68.974036
"Ranunculus glacialis",21.372278,68.974036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",21.348826,69.063249
"Ranunculus glacialis",21.349328,69.063249
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",21.075832,69.143991
"Ranunculus glacialis",21.050952,69.233155
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",21.075832,69.143991
"Ranunculus glacialis",21.075832,69.143991
"Ranunculus glacialis",21.051462,69.233155
"Ranunculus glacialis",21.051462,69.233155
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.601955,69.036888
"Ranunculus glacialis",21.051462,69.233155
"Ranunculus glacialis",21.075832,69.143991
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850364,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",20.601955,69.036888
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",21.302822,69.241659
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",21.075327,69.143991
"Ranunculus glacialis",20.850364,69.046036
"Ranunculus glacialis",20.850864,69.046036
"Ranunculus glacialis",20.850864,69.046036
