"species","longitude","latitude"
"Sciurus vulgaris",22.200499,60.427964
"Sciurus vulgaris",24.983043,60.176499
"Soricidae",24.910089,60.236306
"Vulpes vulpes",25.6781,66.48803
"Neovison vison",27.333522,61.714324
"Capreolus capreolus",24.497243,67.422063
"Arvicola amphibius",24.62841,65.94444
"Nyctereutes procyonoides",26.3,61.7
"Nyctereutes procyonoides",27.358307,61.696828
"Martes martes",21.582755,60.994681
"Capreolus capreolus",22.288889,60.310854
"Capreolus capreolus",22.258405,60.322454
"Sciurus vulgaris",22.267886,60.456747
"Odocoileus virginianus",24.69076,60.184435
"Capreolus capreolus",24.685066,60.182975
"Sciurus vulgaris",25.018642,60.110161
"Sciurus vulgaris",27.28489,61.50651
"Sciurus vulgaris",25.02878,60.23762
"Nyctereutes procyonoides",23.375242,61.7553
"Mammalia",24.92621,60.22123
"Erinaceus europaeus",23.6141,61.51786
"Lutra lutra",21.456429,61.102266
"Sciurus vulgaris",21.541642,61.124857
"Sciurus vulgaris",22.200569,60.427965
"Nyctereutes procyonoides",25.074532,60.335111
"Nyctereutes procyonoides",24.763443,60.56121
"Nyctereutes procyonoides",25.137931,60.299353
"Mustela nivalis",22.93969,61.32829
"Plecotus auritus",30.406356,62.118515
"Lepus europaeus",24.922235,60.165997
"Capreolus capreolus",21.456808,61.106032
"Capreolus capreolus",25.739769,62.528501
"Neovison vison",25.991654,60.290514
"Carnivora",21.73042,61.83546
"Sciurus vulgaris",24.97003,60.22148
"Vulpes vulpes",25.565203,65.00118
"Vulpes vulpes",24.946458,60.18481
"Martes martes",24.808521,62.269852
"Sciurus vulgaris",25.018642,60.110161
"Sciurus vulgaris",24.904212,60.198545
"Nyctereutes procyonoides",27.594272,61.011173
"Capreolus capreolus",25.0463,60.26113
"Lutra lutra",22.7,62.5
"Oryctolagus cuniculus",24.74338,60.16189
"Vulpes vulpes",24.79967,60.59297
"Dama dama",21.88556,61.59687
"Odocoileus virginianus",23.000651,61.144972
"Capreolus capreolus",24.470684,60.423671
"Vulpes vulpes",24.940024,60.180336
"Pipistrellus",29.503582,62.313316
"Lutra lutra",21.309083,62.700758
"Vulpes vulpes",24.924377,60.150335
"Vulpes vulpes",24.924377,60.150335
"Alces alces",22.486299,60.088685
"Rangifer tarandus fennicus",24.720243,63.781312
"Capreolus capreolus",22.257958,60.326671
"Nyctereutes procyonoides",24.373004,61.557575
"Nyctereutes procyonoides",24.829622,60.28456
"Nyctereutes procyonoides",26.779787,60.910131
"Neovison vison",24.602066,60.440352
"Nyctereutes procyonoides",27.161718,61.697228
"Alces alces",25.22164,60.3435
"Sciurus vulgaris",27.17109,63.57851
"Sciurus vulgaris",22.997284,61.157474
"Lepus europaeus",25.018642,60.110161
"Sciurus vulgaris",25.025661,60.196909
"Capreolus capreolus",27.295505,66.409079
"Vulpes vulpes",27.295822,66.390346
"Vulpes vulpes",24.44544,60.137027
"Rattus norvegicus",24.878437,60.231251
"Capreolus capreolus",24.180153,61.171764
"Vulpes vulpes",22.254265,60.325006
"Odocoileus virginianus",21.290611,60.661385
"Odocoileus virginianus",21.2896,60.658985
"Lagomorpha",24.557719,62.288408
"Odocoileus virginianus",21.660054,61.006007
"Capreolus capreolus",21.661081,61.00684
"Sciurus vulgaris",21.52945,61.122737
